# #J-Name	obs_time(min)	S/N(B3)	S/N(B5))
J0030+0451	32	581.95	61.36
J0034-0534	32	842.83	32.53
J0437-4715	10	52652.73	19482.41
J0613-0200	20	258.52	154.48
J0740+6620	20	1594.56	108.41
J0751+1807	20	328.80	183.89
J0900-3144	20	945.91	315.49
J1012+5307	15	1301.51	221.58
J1022+1001	20	6750.88	588.17
J1125+7819	20	996.91	97.74
J1600-3053	30	514.21	512.74
J1643-1224	25	2069.05	570.33
J1713+0747	32	424.15	1987.53
J1730-2304	27	1702.66	357.81
J1744-1134	27	1456.47	561.05
J1857+0943	32	824.60	425.53
J1909-3744	32	1340.31	743.85
J1939+2134	10	 nan	1550.67
J1944+0907	30	971.60	238.26
J2124-3358	30	1266.95	462.87
J2145-0750	25	6771.34	2285.78
J2302+4442	32	889.81	196.25
